255, 0, 0
237, 66, 66
232, 116, 116
50, 550, 50, 50, 550, 70, 70, 550, 50
70, 550, 50, 70, 550, 70, 90, 550, 50
90, 550, 50, 90, 550, 70, 110, 550, 50
110, 550, 50, 110, 550, 70, 130, 550, 50
130, 550, 50, 130, 550, 70, 150, 550, 50
150, 550, 50, 150, 550, 70, 170, 550, 50
170, 550, 50, 170, 550, 70, 190, 550, 50
190, 550, 50, 190, 550, 70, 210, 550, 50
210, 550, 50, 210, 550, 70, 230, 550, 50
230, 550, 50, 230, 550, 70, 250, 550, 50
50, 550, 70, 50, 550, 90, 70, 550, 70
70, 550, 70, 70, 550, 90, 90, 550, 70
90, 550, 70, 90, 550, 90, 110, 550, 70
110, 550, 70, 110, 550, 90, 130, 550, 70
130, 550, 70, 130, 550, 90, 150, 550, 70
150, 550, 70, 150, 550, 90, 170, 550, 70
170, 550, 70, 170, 550, 90, 190, 550, 70
190, 550, 70, 190, 550, 90, 210, 550, 70
210, 550, 70, 210, 550, 90, 230, 550, 70
230, 550, 70, 230, 550, 90, 250, 550, 70
50, 550, 90, 50, 550, 110, 70, 550, 90
70, 550, 90, 70, 550, 110, 90, 550, 90
90, 550, 90, 90, 550, 110, 110, 550, 90
110, 550, 90, 110, 550, 110, 130, 550, 90
130, 550, 90, 130, 550, 110, 150, 550, 90
150, 550, 90, 150, 550, 110, 170, 550, 90
170, 550, 90, 170, 550, 110, 190, 550, 90
190, 550, 90, 190, 550, 110, 210, 550, 90
210, 550, 90, 210, 550, 110, 230, 550, 90
230, 550, 90, 230, 550, 110, 250, 550, 90
50, 550, 110, 50, 550, 130, 70, 550, 110
70, 550, 110, 70, 550, 130, 90, 550, 110
90, 550, 110, 90, 550, 130, 110, 550, 110
110, 550, 110, 110, 550, 130, 130, 550, 110
130, 550, 110, 130, 550, 130, 150, 550, 110
150, 550, 110, 150, 550, 130, 170, 550, 110
170, 550, 110, 170, 550, 130, 190, 550, 110
190, 550, 110, 190, 550, 130, 210, 550, 110
210, 550, 110, 210, 550, 130, 230, 550, 110
230, 550, 110, 230, 550, 130, 250, 550, 110
50, 550, 130, 50, 550, 150, 70, 550, 130
70, 550, 130, 70, 550, 150, 90, 550, 130
90, 550, 130, 90, 550, 150, 110, 550, 130
110, 550, 130, 110, 550, 150, 130, 550, 130
130, 550, 130, 130, 550, 150, 150, 550, 130
150, 550, 130, 150, 550, 150, 170, 550, 130
170, 550, 130, 170, 550, 150, 190, 550, 130
190, 550, 130, 190, 550, 150, 210, 550, 130
210, 550, 130, 210, 550, 150, 230, 550, 130
230, 550, 130, 230, 550, 150, 250, 550, 130
50, 550, 150, 50, 550, 170, 70, 550, 150
70, 550, 150, 70, 550, 170, 90, 550, 150
90, 550, 150, 90, 550, 170, 110, 550, 150
110, 550, 150, 110, 550, 170, 130, 550, 150
130, 550, 150, 130, 550, 170, 150, 550, 150
150, 550, 150, 150, 550, 170, 170, 550, 150
170, 550, 150, 170, 550, 170, 190, 550, 150
190, 550, 150, 190, 550, 170, 210, 550, 150
210, 550, 150, 210, 550, 170, 230, 550, 150
230, 550, 150, 230, 550, 170, 250, 550, 150
50, 550, 170, 50, 550, 190, 70, 550, 170
70, 550, 170, 70, 550, 190, 90, 550, 170
90, 550, 170, 90, 550, 190, 110, 550, 170
110, 550, 170, 110, 550, 190, 130, 550, 170
130, 550, 170, 130, 550, 190, 150, 550, 170
150, 550, 170, 150, 550, 190, 170, 550, 170
170, 550, 170, 170, 550, 190, 190, 550, 170
190, 550, 170, 190, 550, 190, 210, 550, 170
210, 550, 170, 210, 550, 190, 230, 550, 170
230, 550, 170, 230, 550, 190, 250, 550, 170
50, 550, 190, 50, 550, 210, 70, 550, 190
70, 550, 190, 70, 550, 210, 90, 550, 190
90, 550, 190, 90, 550, 210, 110, 550, 190
110, 550, 190, 110, 550, 210, 130, 550, 190
130, 550, 190, 130, 550, 210, 150, 550, 190
150, 550, 190, 150, 550, 210, 170, 550, 190
170, 550, 190, 170, 550, 210, 190, 550, 190
190, 550, 190, 190, 550, 210, 210, 550, 190
210, 550, 190, 210, 550, 210, 230, 550, 190
230, 550, 190, 230, 550, 210, 250, 550, 190
50, 550, 210, 50, 550, 230, 70, 550, 210
70, 550, 210, 70, 550, 230, 90, 550, 210
90, 550, 210, 90, 550, 230, 110, 550, 210
110, 550, 210, 110, 550, 230, 130, 550, 210
130, 550, 210, 130, 550, 230, 150, 550, 210
150, 550, 210, 150, 550, 230, 170, 550, 210
170, 550, 210, 170, 550, 230, 190, 550, 210
190, 550, 210, 190, 550, 230, 210, 550, 210
210, 550, 210, 210, 550, 230, 230, 550, 210
230, 550, 210, 230, 550, 230, 250, 550, 210
50, 550, 230, 50, 550, 250, 70, 550, 230
70, 550, 230, 70, 550, 250, 90, 550, 230
90, 550, 230, 90, 550, 250, 110, 550, 230
110, 550, 230, 110, 550, 250, 130, 550, 230
130, 550, 230, 130, 550, 250, 150, 550, 230
150, 550, 230, 150, 550, 250, 170, 550, 230
170, 550, 230, 170, 550, 250, 190, 550, 230
190, 550, 230, 190, 550, 250, 210, 550, 230
210, 550, 230, 210, 550, 250, 230, 550, 230
230, 550, 230, 230, 550, 250, 250, 550, 230
70, 550, 70, 70, 550, 50, 50, 550, 70
90, 550, 70, 90, 550, 50, 70, 550, 70
110, 550, 70, 110, 550, 50, 90, 550, 70
130, 550, 70, 130, 550, 50, 110, 550, 70
150, 550, 70, 150, 550, 50, 130, 550, 70
170, 550, 70, 170, 550, 50, 150, 550, 70
190, 550, 70, 190, 550, 50, 170, 550, 70
210, 550, 70, 210, 550, 50, 190, 550, 70
230, 550, 70, 230, 550, 50, 210, 550, 70
250, 550, 70, 250, 550, 50, 230, 550, 70
70, 550, 90, 70, 550, 70, 50, 550, 90
90, 550, 90, 90, 550, 70, 70, 550, 90
110, 550, 90, 110, 550, 70, 90, 550, 90
130, 550, 90, 130, 550, 70, 110, 550, 90
150, 550, 90, 150, 550, 70, 130, 550, 90
170, 550, 90, 170, 550, 70, 150, 550, 90
190, 550, 90, 190, 550, 70, 170, 550, 90
210, 550, 90, 210, 550, 70, 190, 550, 90
230, 550, 90, 230, 550, 70, 210, 550, 90
250, 550, 90, 250, 550, 70, 230, 550, 90
70, 550, 110, 70, 550, 90, 50, 550, 110
90, 550, 110, 90, 550, 90, 70, 550, 110
110, 550, 110, 110, 550, 90, 90, 550, 110
130, 550, 110, 130, 550, 90, 110, 550, 110
150, 550, 110, 150, 550, 90, 130, 550, 110
170, 550, 110, 170, 550, 90, 150, 550, 110
